_id,alta,cantidad,cantidadRestock,ean,familia,iva,margen,nombre,precioCompra,precioVenta,proveedor
62c4df316f6dede80a8a70cb,true,0,20,8437003470707,ALIMENTACION,4,20,HUEVOS XL DOCENA,2.15,2.5,
62c4df316f6dede80a8a70cd,true,0,20,8412510115044,GENERICA,10,20,COCKTEL LA PINTA OLIVAS,3.14,4.15,
62c4df316f6dede80a8a70ce,true,0,20,8412510114580,GENERICA,10,20,ACEITUNAS DE SOSA,3.14,4.15,
62c4df316f6dede80a8a70cf,true,0,20,8412510115105,GENERICA,10,20,OLIVAS MOJO PICON,3.14,4.15,
62c4df316f6dede80a8a70d1,true,0,20,8410226011537,ALIMENTACION,10,20,LA ESPAÃOLA OLIVA,1.02,1.35,
62c4df316f6dede80a8a70d2,true,0,20,8480024738394,GENERICA,10,20,OLIVAS RELLENAS DE ANCHOA ALTEZA,0.66,0.87,
62c4df316f6dede80a8a70d3,true,0,20,8410791114015,ALIMENTACION,10,20,EXPLANADA ACEITUNA RELLENA ANCHOA,0.72,1.29,210137
62c4df316f6dede80a8a70d4,true,0,20,8410226017027,GENERICA,10,20,OLIVAS LA ESPAÃOLA NEGRAS CON HUESO,1.1,1.45,
62c4df316f6dede80a8a70d6,true,0,20,8413236720208,ALIMENTACION,10,20,VARIANTES EN VINAGRE CORBI,0.75,1.45,210650
62c4df316f6dede80a8a70d9,true,0,20,8413236730702,GENERICA,10,20,ACEITUNAS CHUPADEDOS,1.7,2.25,
62c4df316f6dede80a8a70da,true,0,20,8413236730061,GENERICA,10,20,ACEITUNAS MANZANILLA SABOR ANCHOA,1.7,2.25,
62c4df316f6dede80a8a70de,true,0,20,8410300349976,ALIMENTACION,10,20,YATEKOMO ORIENTAL,0.65,1.2,101051
62c4df316f6dede80a8a70df,true,0,20,8410300349952,ALIMENTACION,10,20,YATEKOMO POLLO,0.72,1.21,101050
62c4df316f6dede80a8a70e1,true,0,20,8410069018328,ALIMENTACION,10,20,GALLO FIDEO Nâ 1 450 GR.,0.79,1.1,290439
62c4df316f6dede80a8a70e2,true,0,20,8410069002266,ALIMENTACION,10,20,MACARRONES PLUMA N6,0.7,0.9,290437
62c4df316f6dede80a8a70e3,true,0,20,8410069002457,ALIMENTACION,10,20,GALLO SPAGUETTTI Nâ3 500 GRS,0.79,1.1,
62c4df316f6dede80a8a70e4,true,0,20,8410069018311,ALIMENTACION,10,20,GALLO FIDEOS N 0  500 GRS.,0.79,1.19,290438
62c4df316f6dede80a8a70e5,true,0,20,8410069017925,ALIMENTACION,10,20,GALLO HELICES VEGETALES 500. GRS.,1.15,1.65,134683
62c4df316f6dede80a8a70e6,true,0,20,8410069018380,ALIMENTACION,10,20,GALLO MARAVILLA 450 GRS.,0.79,0.89,
62c4df316f6dede80a8a70e7,true,0,20,8410909200487,ALIMENTACION,10,20,LENTEJAS FERRADURA,0.69,1.29,100954
62c4df316f6dede80a8a70e9,true,0,20,8410892100542,GENERICA,10,20,ARROZ LA TERRETA,0.64,0.85,
62c4df316f6dede80a8a70ea,true,0,20,8410909070684,ALIMENTACION,10,20,FERRADURA GARBANZOS,0.99,1.79,100952
62c4df316f6dede80a8a70ee,true,0,20,8410324223412,ALIMENTACION,10,20,ARROZ DACSA,0.93,1.25,220120
62c4df316f6dede80a8a70ef,true,0,20,8410069018427,ALIMENTACION,10,20,GALLO FIDEUA 450 GR.,0.6,1.1,
62c4df316f6dede80a8a70f0,true,0,20,8410184800068,ALIMENTACION,10,20,BRILLANTE ARROZ BASMATI,0.96,1.6,103304
62c4df316f6dede80a8a70f1,true,0,20,8410090051370,ALIMENTACION,10,20,ATUN CALVO ACEITE DE OLIVA 4 LATAS,2.35,3.5,101400
62c4df316f6dede80a8a70f2,true,0,20,8410090010636,ALIMENTACION,10,20,ATUN CALVO ACEITE GIRASOL,1.62,2.75,100226
62c4df316f6dede80a8a70f3,true,0,20,8410084041110,ALIMENTACION,10,20,LA FALLERA ARROZ EXTRA 1 KG.,1.35,1.7,220102
62c4df316f6dede80a8a70f4,true,0,20,8410184800150,ALIMENTACION,10,20,BRILLANTE ARROZ INTEGRAL,0.96,1.6,103228
62c4df316f6dede80a8a70f7,true,0,20,8411916302553,GENERICA,10,20,CORAZONES DE ALCACHOFA CELORRIO,1.52,2,
62c4df316f6dede80a8a70f9,true,0,20,8411916700069,GENERICA,10,20,GUISANTES CELORRIO,0.76,1,
62c4df316f6dede80a8a70fa,true,0,20,8410683430025,GENERICA,10,20,LENTEJAS CON CHORIZO CAMINITO,0.84,1.15,
62c4df316f6dede80a8a70fb,true,0,20,8410683440024,ALIMENTACION,10,20,COCIDO MADRILEÃ°O,0.84,1.25,101361
62c4df316f6dede80a8a70fc,true,0,20,8410683400028,GENERICA,10,20,ALBONDIGAS CON GUISANTES CAMINITO,0.84,1.15,
62c4df316f6dede80a8a70fd,true,0,20,8410683410027,GENERICA,10,20,FABADA ASTURIANA CAMINITO,0.87,1.15,
62c4df316f6dede80a8a70fe,true,0,20,8412100034502,GENERICA,10,20,HABAS CONDIMENTADAS LOZANO 400 GR,0.76,1,
62c4df316f6dede80a8a70ff,true,0,20,8411916305110,ALIMENTACION,10,20,CELORRIO JUDIAS VERDES FINAS,0.74,1.1,
62c4df316f6dede80a8a7100,true,0,20,8410066004195,ALIMENTACION,10,20,PISTO ORLANDO,0.94,1.24,
62c4df316f6dede80a8a7101,true,0,20,8413000065504,ALIMENTACION,10,20,LITORAL FABADA ASTURIANA LITORAL,1.26,1.75,120805
62c4df316f6dede80a8a7102,true,0,20,8411916130965,ALIMENTACION,10,20,ESPARRAGOS BLANCOS CELORRIO 330 GR,1.12,1.75,102948
62c4df316f6dede80a8a7103,true,0,20,8410505273014,ALIMENTACION,10,20,LUENGO LENTEJAS COCIDAS 1 KG.,0.6,0.98,150313
62c4df316f6dede80a8a7104,true,0,20,8412100044501,GENERICA,10,20,HABAS CONDIMENTADAS LOZANO 840 GR,1.36,1.79,
62c4df316f6dede80a8a7105,true,0,20,8410683250029,ALIMENTACION,10,20,SEDA CALLOS 415 GR.,1.58,2.35,101718
62c4df316f6dede80a8a7106,true,0,20,8411916200552,GENERICA,10,20,PIMIENTO PIQUILLO TIRAS CELORRIO,0.83,1.1,
62c4df316f6dede80a8a7107,true,0,20,8411499204206,ALIMENTACION,10,20,TOMATE TRITURADO BELTORO,0.32,0.6,141211
62c4df316f6dede80a8a7108,true,0,20,8410505271010,ALIMENTACION,10,20,LUENGO ALUBIAS COCIDAS 1 KG.,0.6,0.98,102029
62c4df316f6dede80a8a7109,true,0,20,8411916300245,ALIMENTACION,10,20,CELORRIO MACEDONIA DE VERDURAS 1 KGR.,0.7,1.1,102957
